Vegetable,Form,RetailPrice,RetailPriceUnit,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Legume
Acorn squash,Fresh,1.1804,per pound,0.4519,pounds,1.1633,N
Artichoke,Fresh,2.1913,per pound,0.3858,pounds,2.2545,N
Artichoke,Canned,3.4119,per pound,0.3858,pounds,2.0251,N
Asparagus,Fresh,2.7576,per pound,0.3968,pounds,2.2159,N
Asparagus,Canned,3.1269,per pound,0.3968,pounds,1.909,N
Asparagus,Frozen,6.7045,per pound,0.3968,pounds,2.5742,N
Avocados,Fresh,2.2368,per pound,0.3197,pounds,0.9653,N
Beets,Canned,1.2684,per pound,0.3748,pounds,0.7314,N
Black beans,Canned,1.0281,per pound,0.3858,pounds,0.6102,Y
Black beans,Dried,1.3753,per pound,0.3858,pounds,0.2149,Y
Blackeye peas,Canned,1.0375,per pound,0.3748,pounds,0.5982,Y
Blackeye peas,Dried,1.7584,per pound,0.3858,pounds,0.2671,Y
Broccoli florets,Fresh,2.7486,per pound,0.3417,pounds,0.9393,N
Broccoli heads,Fresh,2.3065,per pound,0.3417,pounds,1.0105,N
Broccoli,Frozen,2.1543,per pound,0.3417,pounds,0.8348,N
Brussels sprouts,Fresh,2.6895,per pound,0.3417,pounds,0.867,N
Brussels sprouts,Frozen,2.6214,per pound,0.3417,pounds,0.9331,N
Butternut squash,Fresh,1.2325,per pound,0.4519,pounds,0.7802,N
"Cabbage, green",Fresh,0.7025,per pound,0.3307,pounds,0.2983,N
"Cabbage, red",Fresh,1.0985,per pound,0.3307,pounds,0.4663,N
"Cabbage, sauerkraut",Canned,1.2823,per pound,0.3086,pounds,0.6089,N
"Carrots, cooked whole",Fresh,0.8703,per pound,0.3197,pounds,0.341,N
"Carrots, raw whole",Fresh,0.8703,per pound,0.2756,pounds,0.2695,N
"Carrots, baby",Fresh,1.2716,per pound,0.2756,pounds,0.3504,N
Carrots,Canned,1.1315,per pound,0.3197,pounds,0.5565,N
Carrots,Frozen,1.6763,per pound,0.3197,pounds,0.5468,N
Cauliflower florets,Fresh,3.5859,per pound,0.2756,pounds,1.0185,N
Cauliflower heads,Fresh,1.9769,per pound,0.2756,pounds,0.6103,N
Cauliflower,Frozen,1.9946,per pound,0.2756,pounds,0.5908,N
"Celery, trimmed bunches",Fresh,0.9842,per pound,0.2646,pounds,0.3567,N
Celery sticks,Fresh,2.4041,per pound,0.2646,pounds,0.636,N
Collard greens,Fresh,2.682,per pound,0.2866,pounds,0.6626,N
Collard greens,Canned,1.0418,per pound,0.3638,pounds,0.583,N
Collard greens,Frozen,1.9022,per pound,0.3638,pounds,0.7846,N
Corn,Fresh,1.8908,per pound,0.3638,pounds,1.2737,N
Corn,Canned,1.0287,per pound,0.3638,pounds,0.5757,N
Corn,Frozen,1.6642,per pound,0.3638,pounds,0.6286,N
Cucumbers with peel,Fresh,1.1933,per pound,0.2646,pounds,0.3255,N
Cucumbers without peel,Fresh,1.1933,per pound,0.2646,pounds,0.4325,N
Great northern beans,Canned,1.0095,per pound,0.3858,pounds,0.5992,Y
Great northern beans,Dried,1.6965,per pound,0.3858,pounds,0.2651,Y
Green beans,Fresh,2.1463,per pound,0.2756,pounds,0.6987,Y
Green beans,Canned,1.0175,per pound,0.2976,pounds,0.4659,Y
Green beans,Frozen,1.946,per pound,0.2976,pounds,0.6414,Y
Green peas,Canned,1.2516,per pound,0.3527,pounds,0.6792,Y
Green peas,Frozen,1.8937,per pound,0.3527,pounds,0.7485,Y
Green peppers,Fresh,1.2772,per pound,0.2646,pounds,0.4121,N
Kale,Fresh,2.5018,per pound,0.2866,pounds,0.6829,N
Kale,Frozen,2.1257,per pound,0.3638,pounds,0.8597,N
