Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
10-2014,3749,695,3445,1944,18832,2652,1888,1273,867,0,5274,189,789,228,2299,1395,1120,1775,3429,636,4249,3050,4409,2223,815,4107,514,1190,2019,665,2918,1061,7615,6944,479,4634,1841,1606,6646,414,4678,535,5994,17283,1524,209,1524,3515,795,2278,354
11-2014,3475,645,3053,1616,16276,2330,1751,1077,761,0,4813,590,733,231,1854,1295,1061,1905,2852,615,2664,2756,3992,1909,756,3456,497,950,1881,572,2666,934,6787,5666,455,4028,1703,1342,6017,398,3700,521,5203,15090,1294,167,1294,3292,689,2050,399
12-2014,3341,595,3074,1610,16895,2322,1682,1130,634,136494,4955,513,862,230,1967,1249,2116,1667,2790,696,3454,3122,3938,1978,803,3374,478,937,1861,601,2674,971,6359,6092,517,4026,1846,1506,5892,423,3746,531,5278,15571,1292,124,1292,3409,741,2037,367
01-2015,3560,726,3309,1952,17755,2655,1673,1150,977,34,4928,651,896,205,2380,1246,1516,1944,3218,641,3537,2712,4214,2123,810,3739,497,997,1748,576,2650,1081,6832,6374,421,4239,1699,1516,5874,416,4138,550,5701,15857,1411,155,1411,3548,731,2223,334
02-2015,3049,577,3190,1674,17386,2213,1495,1019,843,40,4306,654,815,169,1828,1213,1344,1702,2857,607,3270,2267,3702,1876,763,3229,461,845,1706,517,2408,1100,5903,5286,429,3788,1349,1315,5525,377,3278,502,4919,15292,1247,179,1247,3239,613,1897,295
03-2015,4141,706,3620,1918,19740,2788,1821,1109,1002,25,5346,744,909,207,2230,1313,2247,1778,3393,674,3707,2848,4159,2133,899,3831,484,1024,1873,568,2794,1078,6988,6459,429,4602,1773,1606,6093,476,4200,584,5958,16963,1537,197,1537,3579,770,2261,309
04-2015,4250,721,3497,1883,18643,2628,1735,1187,954,30,5123,797,851,182,2415,1452,1484,1915,3373,624,3877,2723,4274,2014,937,3929,467,1012,1996,618,2767,1100,7054,6351,430,4527,1854,1063,6622,451,4172,601,6285,17695,1420,146,1420,3395,849,2249,318
05-2015,4577,745,3604,1892,18492,2713,2089,1390,1020,30,5717,725,953,217,2611,1515,1533,2106,3366,717,4329,3283,4817,2250,948,4122,533,965,2057,682,3183,1137,8014,6294,479,5166,1881,1120,6983,514,4705,670,6726,17658,1442,224,1442,3910,896,2305,365
06-2015,4065,741,3636,1825,19437,2775,1964,1238,1028,17424,5054,669,1039,261,2450,1345,2410,1842,3165,746,2847,3110,4819,2221,889,4018,542,999,1891,700,3109,1080,7602,6037,377,4800,1958,1101,7425,472,4303,684,6176,17298,1479,160,1479,3918,933,2328,348
07-2015,4341,753,3611,1890,19796,2901,1986,1282,1175,22,5133,686,987,229,2511,1401,1595,2036,3277,808,2905,3312,4958,2278,955,4102,574,1084,2088,686,3211,1028,8443,6904,424,4996,1739,1184,7229,501,4233,701,6509,17856,1631,235,1631,4054,981,2410,394
08-2015,4440,803,3658,1852,19577,2958,2116,1352,887,3,4958,767,1024,211,2489,1394,1520,2206,3341,797,2783,3115,4872,2149,836,4181,586,1053,2099,673,3158,1113,8123,6634,425,4928,1787,1144,7028,582,4313,710,6558,18653,1485,253,1485,3971,905,2381,385
09-2015,4161,708,3617,1810,19848,2859,1823,1284,218,16,5173,781,1113,239,2509,1510,2331,1926,3395,709,2962,2858,4575,2173,949,4110,494,1238,1948,663,2927,1087,7649,6693,403,4698,1781,1032,6672,495,4292,644,6435,18383,1452,202,1452,3549,861,2335,380
10-2015,4122,776,3211,1737,18960,2777,1839,1352,280,17,4737,655,1042,198,2437,1529,1369,1940,3476,588,4130,2623,4214,2122,855,4279,536,1045,1915,648,2771,1016,7366,6183,467,4582,1687,983,7203,426,4236,535,5842,18352,1429,160,1429,3638,829,2272,318
11-2015,3613,634,2923,1512,17149,2520,1704,1110,287,18,4300,852,837,203,2018,1330,1367,1831,3129,631,3851,2572,3937,1926,717,3942,514,960,1621,630,2718,957,7128,5708,389,3951,1608,863,6274,485,3803,450,5634,18047,1228,234,1228,3167,726,2197,298
