Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
10-2014,8196,1094,7581,4719,34958,4151,3227,1652,2270,0,11895,451,1315,4482,5829,2472,2652,3466,6862,942,7197,6980,12901,3685,2233,7533,978,1770,4602,1495,6792,2290,13821,10770,897,12860,4483,2739,10661,871,8830,867,12574,35436,2655,260,2655,6685,1376,3627,533
11-2014,7729,1123,6942,4060,31782,3842,2838,1455,1857,0,10471,1229,1153,3817,5186,2278,2534,3227,6138,860,5201,6267,11360,3182,2038,6476,868,1554,4270,1192,6114,2035,12492,9348,820,11094,3897,2417,9366,828,7337,792,10996,31637,2475,215,2475,6279,1256,3266,560
12-2014,7412,1058,6971,4037,32120,3682,2763,1461,1597,243300,10875,1211,1295,4169,5154,2169,4950,3153,6323,893,6284,6967,11307,3341,1909,6720,883,1520,4133,1207,6177,2024,12439,9493,848,10914,3866,2754,9629,809,7447,774,11483,32388,2430,167,2430,6340,1224,3377,499
01-2015,8026,1240,7383,4624,33805,4173,2629,1521,1877,56,11168,1306,1335,3883,5281,2252,2955,3451,6482,891,6009,5848,11632,3443,1946,6739,851,1643,4189,1217,5701,2375,12004,9239,775,10870,4215,2550,9063,806,7720,885,11719,31617,2655,231,2655,6590,1295,3374,511
02-2015,6669,977,6851,3791,31436,3578,2311,1193,1501,44,8908,1282,1136,2816,4361,2056,2662,2786,5654,860,5359,4999,9718,3018,1671,5496,788,1396,3943,996,5047,2204,10101,7488,727,9383,3520,2343,7977,735,6467,743,9423,28801,2437,240,2437,6102,966,2815,474
03-2015,9141,1252,8028,4705,36696,4493,2785,1440,1922,32,11227,1373,1332,3870,5612,2423,5171,3539,7059,946,6352,6352,11954,3612,2121,7009,891,1698,4461,1282,6056,2422,12272,10071,776,12750,4250,2776,9366,883,8504,893,12152,34406,2743,257,2743,6855,1296,3368,470
04-2015,9772,1318,7702,4901,34954,4311,2806,1539,2032,44,11243,1367,1251,4212,5931,2605,3342,3644,7105,922,6560,6306,12530,3509,2177,7125,838,1782,4766,1420,6284,2404,12646,9905,816,13388,4547,1693,10262,942,8236,925,13136,35375,2561,202,2561,6346,1432,3585,506
05-2015,10515,1395,8522,5506,36471,4593,3446,1856,2414,38,12353,1394,1472,4923,6686,2741,3448,4098,7410,1015,7891,7623,14199,4007,2242,7990,967,1853,5159,1469,7472,2621,14742,9921,877,15540,4735,1848,11416,1093,9520,1043,14289,37826,2807,302,2807,7504,1671,3762,591
06-2015,9382,1406,7798,5054,36605,4518,3124,1659,2087,38251,11275,1235,1475,4712,6289,2518,5841,3756,6838,1040,5723,6918,13384,3818,2104,7704,1044,1853,4873,1444,7021,2382,13781,8884,785,14284,4842,1728,10462,974,8604,1043,13243,34950,2941,206,2941,7321,1590,3751,567
07-2015,9931,1357,7520,5320,38181,4878,3228,1735,2387,40,11881,1318,1412,5293,6675,2561,3363,3978,7146,1125,5899,7418,13983,4063,2232,8000,1103,1857,5165,1374,7137,2527,15246,10543,864,15217,4659,1839,10820,981,8558,1218,13517,36549,3013,320,3013,7485,1648,4026,638
08-2015,9912,1394,8655,5240,38850,4939,3213,1809,2286,6,11786,1391,1552,5099,6603,2595,3452,4071,7423,1158,5734,7220,14083,3872,2149,7964,1072,2005,5016,1404,7245,2588,15288,10508,1027,14953,4730,1891,11268,1093,8686,1201,13749,37480,2974,321,2974,7545,1633,3933,597
