title,release_date,original_language,genres,budget,revenue,runtime,year,Rated,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID
Meg 2: The Trench,2023-08-02,en,Action-Science Fiction-Horror,129000000.0,352056482.0,116.0,2023.0,PG-13,posters/Meg_2:_The_Trench_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}]",,5.0,"86,089",tt9224104
The Pope's Exorcist,2023-04-05,en,Horror-Mystery-Thriller,18000000.0,65675816.0,103.0,2023.0,R,posters/The_Pope's_Exorcist_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45.0,6.1,"88,285",tt13375076
Deadpool & Wolverine,2024-07-24,en,Action-Comedy-Science Fiction,200000000.0,1326387384.0,128.0,2024.0,R,posters/Deadpool_&_Wolverine_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",,7.9,"312,522",tt6263850
Transformers: Rise of the Beasts,2023-06-06,en,Action-Adventure-Science Fiction,200000000.0,407045464.0,127.0,2023.0,PG-13,posters/Transformers:_Rise_of_the_Beasts_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42.0,6.0,"111,785",tt5090568
Dune: Part Two,2024-02-27,en,Science Fiction-Adventure,190000000.0,683813734.0,167.0,2024.0,PG-13,posters/Dune:_Part_Two_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",,8.5,"520,839",tt15239678
Ant-Man and the Wasp: Quantumania,2023-02-15,en,Action-Adventure-Science Fiction,200000000.0,475766228.0,125.0,2023.0,PG-13,posters/Ant-Man_and_the_Wasp:_Quantumania_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,6.0,"237,729",tt10954600
Creed III,2023-03-01,en,Drama-Action,75000000.0,269000000.0,116.0,2023.0,PG-13,posters/Creed_III_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,6.7,"96,401",tt11145118
Insidious: The Red Door,2023-07-05,en,Horror-Mystery-Thriller,16000000.0,175582093.0,107.0,2023.0,PG-13,posters/Insidious:_The_Red_Door_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45.0,5.5,"53,943",tt13405778
Despicable Me 4,2024-06-20,en,Animation-Family-Comedy-Action,100000000.0,810329715.0,94.0,2024.0,PG,posters/Despicable_Me_4_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",,6.2,"45,702",tt7510222
Spider-Man: Across the Spider-Verse,2023-05-31,en,Action-Adventure-Animation-Science Fiction,100000000.0,512609552.0,140.0,2023.0,PG,posters/Spider-Man:_Across_the_Spider-Verse_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86.0,8.6,"403,762",tt9362722
Kingdom of the Planet of the Apes,2024-05-08,en,Science Fiction-Adventure-Action,160000000.0,391407919.0,145.0,2024.0,PG-13,posters/Kingdom_of_the_Planet_of_the_Apes_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,6.9,"128,576",tt11389872
Beetlejuice Beetlejuice,2024-09-04,en,Comedy-Fantasy-Horror,100000000.0,402822428.0,105.0,2024.0,PG-13,posters/Beetlejuice_Beetlejuice_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}]",,7.0,"46,283",tt2049403
Aquaman and the Lost Kingdom,2023-12-20,en,Action-Adventure-Fantasy,205000000.0,397860076.0,124.0,2023.0,PG-13,posters/Aquaman_and_the_Lost_Kingdom_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",,5.6,"96,419",tt9663764
Shazam! Fury of the Gods,2023-03-15,en,Action-Comedy-Fantasy-Adventure,125000000.0,133437105.0,130.0,2023.0,PG-13,posters/Shazam!_Fury_of_the_Gods_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,5.9,"130,065",tt10151854
Knights of the Zodiac,2023-04-27,en,Fantasy-Action-Adventure,60000000.0,6794519.0,113.0,2023.0,PG-13,posters/Knights_of_the_Zodiac_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35.0,4.4,"14,492",tt6528290
Furiosa: A Mad Max Saga,2024-05-22,en,Action-Adventure-Science Fiction,170000000.0,172775791.0,149.0,2024.0,R,posters/Furiosa:_A_Mad_Max_Saga_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",,7.5,"214,886",tt12037194
Napoleon,2023-11-22,en,History-War-Drama,165000000.0,213400000.0,158.0,2023.0,R,posters/Napoleon_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",,6.4,"157,000",tt13287846
Bad Boys: Ride or Die,2024-06-05,en,Action-Crime-Thriller-Comedy,100000000.0,331957666.0,115.0,2024.0,R,posters/Bad_Boys:_Ride_or_Die_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}]",,6.7,"70,157",tt4919268
The Nun II,2023-09-06,en,Horror-Mystery-Thriller,38500000.0,257010000.0,110.0,2023.0,R,posters/The_Nun_II_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}]",,5.6,"63,750",tt10160976
The Creator,2023-09-27,en,Science Fiction-Action-Thriller,80000000.0,102000000.0,134.0,2023.0,PG-13,posters/The_Creator_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",,6.7,"173,191",tt11858890
Alien: Romulus,2024-08-13,en,Horror-Science Fiction,80000000.0,225439383.0,119.0,2024.0,R,posters/Alien:_Romulus_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,7.4,"103,481",tt18412256
The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-15,en,Drama-Science Fiction-Action,100000000.0,322300000.0,157.0,2023.0,PG-13,posters/The_Hunger_Games:_The_Ballad_of_Songbirds_&_Snakes_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",,6.7,"143,792",tt10545296
IF,2024-05-08,en,Comedy-Fantasy-Family,110000000.0,176438104.0,104.0,2024.0,PG,posters/IF_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",,6.5,"43,455",tt11152168
A Quiet Place: Day One,2024-06-26,en,Horror-Science Fiction-Thriller,67000000.0,244911350.0,99.0,2024.0,PG-13,posters/A_Quiet_Place:_Day_One_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",,6.3,"107,981",tt13433802
Shotgun Wedding,2022-12-28,en,Action-Romance-Comedy,0.0,4495365.0,101.0,2022.0,R,posters/Shotgun_Wedding_2022_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,5.5,"39,453",tt9686790
Retribution,2023-08-23,en,Action-Mystery-Thriller-Crime,20000000.0,12905464.0,93.0,2023.0,R,posters/Retribution_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}]",,5.3,"23,492",tt6906292
Puss in Boots: The Last Wish,2022-12-07,en,Animation-Family-Fantasy-Adventure-Comedy,90000000.0,480000000.0,103.0,2022.0,PG,posters/Puss_in_Boots:_The_Last_Wish_2022_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.8,"186,960",tt3915174
The Garfield Movie,2024-04-30,en,Animation-Comedy-Family-Adventure-Action,60000000.0,221871392.0,101.0,2024.0,PG,posters/The_Garfield_Movie_2024_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}]",,5.7,"19,074",tt5779228
Migration,2023-12-06,en,Animation-Action-Adventure-Comedy-Family,72000000.0,289076685.0,83.0,2023.0,PG,posters/Migration_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}]",,6.6,"35,165",tt6495056
Guy Ritchie's The Covenant,2023-04-19,en,War-Action-Thriller,55000000.0,20000000.0,123.0,2023.0,R,posters/Guy_Ritchie's_The_Covenant_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,7.5,"176,336",tt4873118
Expend4bles,2023-09-15,en,Action-Adventure-Thriller,100000000.0,58000000.0,103.0,2023.0,,,,,,,
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,en,Animation-Comedy-Action,70000000.0,161000000.0,100.0,2023.0,PG,posters/Teenage_Mutant_Ninja_Turtles:_Mutant_Mayhem_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,7.2,"68,869",tt8589698
