title,budget,revenue,runtime,imdbRating,Month,Age Rating,RT_Rating,,TV Movie,Documentary,Western,Action,Thriller,Crime,Adventure,Drama,Family,Horror,Music,Comedy,Romance,War,Fantasy,Animation,Mystery,History,Science Fiction,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming,Poster_Features
Meg 2: The Trench,2.548242344706748,1.668476067211467,0.430059788406801,-1.3528567418653024,08-2023,2.0,-1.1155441560590222,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6795.0,1310.0,8724.0,5462.0,43727.0,6387.0,2604.0,1263.0,2390.0,11413.0,923.0,1510.0,18144.0,7360.0,2960.0,4197.0,4337.0,6562.0,1218.0,7045.0,6362.0,14452.0,4235.0,1747.0,7830.0,1279.0,2152.0,5574.0,1074.0,6921.0,3746.0,29029.0,11740.0,1092.0,13831.0,6157.0,3855.0,9791.0,857.0,8517.0,1243.0,12738.0,40485.0,3389.0,377.0,7866.0,1444.0,4250.0,613.0,[0.         0.         0.01358231 ... 2.3909807  0.         0.        ]
Retribution,-0.1336223615027664,-0.3736903522015247,-0.5831929750287417,-1.0541824854795268,08-2023,3.0,-1.0026481008120955,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6795.0,1310.0,8724.0,5462.0,43727.0,6387.0,2604.0,1263.0,2390.0,11413.0,923.0,1510.0,18144.0,7360.0,2960.0,4197.0,4337.0,6562.0,1218.0,7045.0,6362.0,14452.0,4235.0,1747.0,7830.0,1279.0,2152.0,5574.0,1074.0,6921.0,3746.0,29029.0,11740.0,1092.0,13831.0,6157.0,3855.0,9791.0,857.0,8517.0,1243.0,12738.0,40485.0,3389.0,377.0,7866.0,1444.0,4250.0,613.0,[0.         0.         0.03371367 ... 2.4200687  0.         0.        ]
Blue Beetle,1.9331357607137403,0.327168557861828,0.9587134041123014,-0.45683397270797477,08-2023,2.0,0.7660567647230903,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6795.0,1310.0,8724.0,5462.0,43727.0,6387.0,2604.0,1263.0,2390.0,11413.0,923.0,1510.0,18144.0,7360.0,2960.0,4197.0,4337.0,6562.0,1218.0,7045.0,6362.0,14452.0,4235.0,1747.0,7830.0,1279.0,2152.0,5574.0,1074.0,6921.0,3746.0,29029.0,11740.0,1092.0,13831.0,6157.0,3855.0,9791.0,857.0,8517.0,1243.0,12738.0,40485.0,3389.0,377.0,7866.0,1444.0,4250.0,613.0,[0.         0.         0.02617117 ... 2.46699    0.         0.        ]
The Last Voyage of the Demeter,0.4814842224902415,-0.3213370095629443,0.5622231923331761,-0.25771780178412496,08-2023,3.0,0.0886804332415298,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6795.0,1310.0,8724.0,5462.0,43727.0,6387.0,2604.0,1263.0,2390.0,11413.0,923.0,1510.0,18144.0,7360.0,2960.0,4197.0,4337.0,6562.0,1218.0,7045.0,6362.0,14452.0,4235.0,1747.0,7830.0,1279.0,2152.0,5574.0,1074.0,6921.0,3746.0,29029.0,11740.0,1092.0,13831.0,6157.0,3855.0,9791.0,857.0,8517.0,1243.0,12738.0,40485.0,3389.0,377.0,7866.0,1444.0,4250.0,613.0,[0.         0.         0.00342676 ... 1.7641313  0.         0.        ]
The hill,-0.6257076286971727,-0.40563671192085343,0.6503321282840928,0.3396307109874271,08-2023,1.0,-0.47579984299310396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6795.0,1310.0,8724.0,5462.0,43727.0,6387.0,2604.0,1263.0,2390.0,11413.0,923.0,1510.0,18144.0,7360.0,2960.0,4197.0,4337.0,6562.0,1218.0,7045.0,6362.0,14452.0,4235.0,1747.0,7830.0,1279.0,2152.0,5574.0,1074.0,6921.0,3746.0,29029.0,11740.0,1092.0,13831.0,6157.0,3855.0,9791.0,857.0,8517.0,1243.0,12738.0,40485.0,3389.0,377.0,7866.0,1444.0,4250.0,613.0,[0.         0.         0.00394776 ... 1.740282   0.         0.        ]
All Fun and Games,-0.6257076286971727,-0.45040295489766846,-1.2880644626360758,-2.0497633400987794,08-2023,-1.0,-0.889752045565169,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6795.0,1310.0,8724.0,5462.0,43727.0,6387.0,2604.0,1263.0,2390.0,11413.0,923.0,1510.0,18144.0,7360.0,2960.0,4197.0,4337.0,6562.0,1218.0,7045.0,6362.0,14452.0,4235.0,1747.0,7830.0,1279.0,2152.0,5574.0,1074.0,6921.0,3746.0,29029.0,11740.0,1092.0,13831.0,6157.0,3855.0,9791.0,857.0,8517.0,1243.0,12738.0,40485.0,3389.0,377.0,7866.0,1444.0,4250.0,613.0,"[0.0000000e+00 0.0000000e+00 5.6237590e-05 ... 1.9033669e+00 0.0000000e+00
 0.0000000e+00]"
The Pope's Exorcist,-0.18283088822220703,-0.055938568849946524,-0.14264829527415793,-0.25771780178412496,04-2023,3.0,-0.2500077324992506,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.         0.         0.01824266 ... 2.2486207  0.         0.        ]
Knights of the Zodiac,0.8505481728860462,-0.41048684110334993,0.2978963844804258,-1.9502052546368536,04-2023,2.0,-1.3413362665528759,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.         0.         0.03486437 ... 2.5138974  0.         0.        ]
Guy Ritchie's The Covenant,0.7275268560874446,-0.330971261260991,0.7384410642350095,1.136095394682829,04-2023,3.0,0.991848875216944,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.       0.       0.       ... 2.274507 0.       0.      ]
Evil Dead Rise,-0.256643678301368,0.4007027185588619,-0.4510295711023666,0.14051454006357642,04-2023,3.0,1.029480893632586,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.       0.       0.       ... 1.891882 0.       0.      ]
