Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Los Angeles Dodgers,43,17,.717,5.8,3.6,2.3,-0.1,2.2,43-17,0,0-0,0-0,27-13,16-4,21-9,22-8,5-1,7-5,30-12,13-5,8-5,35-12
2,Tampa Bay Rays,40,20,.667,4.8,3.8,1.0,-0.1,0.9,36-24,4,27-13,0-0,0-0,13-7,20-9,20-11,4-3,14-5,31-12,9-8,21-9,19-11
3,San Diego Padres,37,23,.617,5.4,4.0,1.4,0.0,1.4,38-22,-1,0-0,0-0,24-16,13-7,21-11,16-12,4-0,8-8,27-13,10-10,6-7,31-16
4,Minnesota Twins,36,24,.600,4.5,3.6,0.9,0.0,0.9,36-24,0,0-0,23-17,0-0,13-7,24-7,12-17,3-1,9-5,27-17,9-7,18-12,18-12
5,Oakland Athletics,36,24,.600,4.6,3.9,0.7,-0.4,0.3,35-25,1,0-0,0-0,26-14,10-10,22-10,14-14,6-1,7-6,25-21,11-3,2-4,34-20
6,Atlanta Braves,35,25,.583,5.8,4.8,1.0,-0.2,0.8,35-25,0,24-16,0-0,0-0,11-9,19-11,16-14,2-3,11-6,27-21,8-4,12-9,23-16
7,Cleveland Indians,35,25,.583,4.1,3.5,0.7,0.0,0.6,35-25,0,0-0,23-17,0-0,12-8,18-12,17-13,4-2,8-6,27-20,8-5,16-15,19-10
8,Chicago White Sox,35,25,.583,5.1,4.1,1.0,0.0,1.0,36-24,-1,0-0,25-15,0-0,10-10,18-12,17-13,1-2,5-8,21-25,14-0,12-20,23-5
9,Chicago Cubs,34,26,.567,4.4,4.0,0.4,-0.2,0.3,33-27,1,0-0,22-18,0-0,12-8,19-14,15-12,3-1,10-9,27-22,7-4,19-14,15-12
10,New York Yankees,33,27,.550,5.3,4.5,0.8,-0.1,0.7,34-26,-1,23-17,0-0,0-0,10-10,22-9,11-18,5-2,6-7,26-19,7-8,10-17,23-10
11,Toronto Blue Jays,32,28,.533,5.0,5.2,-0.2,0.0,-0.1,29-31,3,22-18,0-0,0-0,10-10,17-9,15-19,5-6,13-10,20-20,12-8,12-15,20-13
12,St. Louis Cardinals,30,28,.517,4.1,3.9,0.2,-0.2,0.0,30-28,0,0-0,22-18,0-0,8-10,14-13,16-15,1-3,7-6,26-21,4-7,15-15,15-13
13,Miami Marlins,31,29,.517,4.4,5.1,-0.7,0.1,-0.6,26-34,5,21-19,0-0,0-0,10-10,11-15,20-14,3-2,11-8,24-17,7-12,9-14,22-15
14,Cincinnati Reds,31,29,.517,4.1,4.1,0.0,-0.2,-0.2,30-30,1,0-0,21-19,0-0,10-10,16-13,15-16,2-0,7-8,24-23,7-6,13-17,18-12
15,Houston Astros,29,31,.483,4.7,4.6,0.1,-0.3,-0.2,30-30,-1,0-0,0-0,19-21,10-10,20-8,9-23,2-7,10-14,17-21,12-10,4-13,25-18
16,San Francisco Giants,29,31,.483,5.0,5.0,0.0,0.3,0.3,30-30,-1,0-0,0-0,18-22,11-9,19-14,10-17,2-3,8-8,15-21,14-10,7-19,22-12
17,Milwaukee Brewers,29,31,.483,4.1,4.4,-0.3,-0.1,-0.4,28-32,1,0-0,19-21,0-0,10-10,15-14,14-17,3-2,11-5,18-24,11-7,19-24,10-7
18,Philadelphia Phillies,28,32,.467,5.1,5.2,-0.1,0.0,-0.1,30-30,-2,21-19,0-0,0-0,7-13,19-13,9-19,3-2,8-10,15-23,13-9,13-20,15-12
19,Seattle Mariners,27,33,.450,4.2,5.1,-0.8,-0.1,-0.9,25-35,2,0-0,0-0,20-20,7-13,14-10,13-23,2-3,7-8,19-21,8-12,8-12,19-21
20,New York Mets,26,34,.433,4.8,5.1,-0.4,0.0,-0.3,28-32,-2,17-23,0-0,0-0,9-11,12-17,14-17,1-4,6-11,18-20,8-14,14-18,12-16
21,Los Angeles Angels,26,34,.433,4.9,5.4,-0.5,-0.1,-0.6,28-32,-2,0-0,0-0,19-21,7-13,16-15,10-19,3-5,9-9,17-24,9-10,7-13,19-21
22,Kansas City Royals,26,34,.433,4.1,4.5,-0.4,0.2,-0.2,27-33,-1,0-0,17-23,0-0,9-11,15-15,11-19,1-2,8-9,22-27,4-7,17-27,9-7
23,Colorado Rockies,26,34,.433,4.6,5.9,-1.3,0.4,-0.9,23-37,3,0-0,0-0,17-23,9-11,12-18,14-16,1-2,9-8,16-24,10-10,9-15,17-19
24,Washington Nationals,26,34,.433,4.9,5.0,-0.1,0.0,-0.2,29-31,-3,17-23,0-0,0-0,9-11,15-18,11-16,4-1,7-9,15-28,11-6,14-17,12-17
25,Baltimore Orioles,25,35,.417,4.6,4.9,-0.3,0.1,-0.3,28-32,-3,14-26,0-0,0-0,11-9,13-20,12-15,4-4,7-12,18-29,7-6,11-26,14-9
26,Arizona Diamondbacks,25,35,.417,4.5,4.9,-0.4,0.3,-0.1,27-33,-2,0-0,0-0,14-26,11-9,16-14,9-21,0-3,9-9,20-24,5-11,9-15,16-20
27,Boston Red Sox,24,36,.400,4.9,5.9,-1.0,0.2,-0.8,25-35,-1,14-26,0-0,0-0,10-10,11-20,13-16,0-4,4-9,17-19,7-17,13-26,11-10
28,Detroit Tigers,23,35,.397,4.3,5.5,-1.2,0.3,-0.9,23-35,0,0-0,12-28,0-0,11-7,12-15,11-20,1-2,7-9,16-31,7-4,14-27,9-8
29,Texas Rangers,22,38,.367,3.7,5.2,-1.5,-0.1,-1.6,21-39,1,0-0,0-0,16-24,6-14,16-14,6-24,2-2,7-6,15-23,7-15,4-13,18-25
30,Pittsburgh Pirates,19,41,.317,3.7,5.0,-1.3,0.1,-1.2,22-38,-3,0-0,16-24,0-0,3-17,13-19,6-22,1-5,8-15,17-31,2-10,14-30,5-11
