id,make,model,year,fuelType1,drive,trany,VClass,cylinders,displ,speeds,drive_number,avgMpg
41213,Toyota,Corolla,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AV-S10),Compact Cars,4.0,2.0,10.0,2,46.31
41215,Toyota,Corolla,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Compact Cars,4.0,2.0,6.0,2,42.549099999999996
41216,Toyota,Corolla XSE,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AV-S10),Compact Cars,4.0,2.0,10.0,2,45.39342
41218,Toyota,Corolla,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Compact Cars,4.0,1.8,6.0,2,44.54
41222,Kia,Soul,2020,Regular Gasoline,Front-Wheel Drive,Manual 6-spd,Small Station Wagons,4.0,2.0,6.0,2,35.47
41223,Kia,Soul,2020,Regular Gasoline,Front-Wheel Drive,Automatic (AM-S7),Small Station Wagons,4.0,1.6,7.0,2,37.86
41227,Kia,Sportage FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 2WD,4.0,2.4,6.0,2,33.36895
41228,Kia,Sportage FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 2WD,4.0,2.0,6.0,2,29.61
41229,Kia,Telluride FWD,2020,Regular Gasoline,Front-Wheel Drive,Automatic (S8),Small Sport Utility Vehicle 2WD,6.0,3.8,8.0,2,28.999999999999996
41230,Kia,Sportage AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 4WD,4.0,2.4,6.0,4,30.21267
41231,Kia,Sportage AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S6),Small Sport Utility Vehicle 4WD,4.0,2.0,6.0,4,27.4
41232,Kia,Telluride AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S8),Small Sport Utility Vehicle 4WD,6.0,3.8,8.0,4,26.71374
41233,Mercedes-Benz,GLE350 4matic,2020,Premium Gasoline,4-Wheel Drive,Automatic 9-spd,Small Sport Utility Vehicle 4WD,4.0,2.0,9.0,4,28.339999999999996
41234,Mercedes-Benz,GLE450 4matic,2020,Premium Gasoline,4-Wheel Drive,Automatic 9-spd,Standard Sport Utility Vehicle 4WD,6.0,3.0,9.0,4,27.08
41236,Jaguar,F-Type Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Two Seaters,4.0,2.0,8.0,2,33.46001
41237,Jaguar,F-Type Convertible,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Two Seaters,4.0,2.0,8.0,2,33.46001
41238,Jaguar,XE,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,2,37.45
41239,Jaguar,XE 30t,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,2,34.932109999999994
41240,Jaguar,XE AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,4,36.37
41241,Jaguar,XE AWD 30t,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,4,32.667989999999996
41242,Jaguar,XF,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Midsize Cars,4.0,2.0,8.0,2,37.45
41243,Jaguar,XF 30t,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Midsize Cars,4.0,2.0,8.0,2,34.6486
41244,Jaguar,XF AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Midsize Cars,4.0,2.0,8.0,4,34.96
41245,Jaguar,XF AWD 30t,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Midsize Cars,4.0,2.0,8.0,4,33.182689999999994
41246,Jaguar,XF Sportbrake AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Midsize Station Wagons,4.0,2.0,8.0,4,31.05697
