,coal,natural gas,petroleum
Florida,40.24242,75.027273,114.793297
Iowa,28.120345,16.828779,28.183284
Indiana,89.142017,41.38871,51.322376
Alaska,1.563846,17.556345,15.789255
Arizona,30.58456,19.711348,36.710043
Connecticut,0.220985,13.511039,20.569305
Maryland,15.381395,11.325847,30.850718
Minnesota,24.662918,24.750139,39.841909
Montana,15.29087,4.11534,11.052955
New Hampshire,0.49835,3.156553,10.098009
Nevada,2.902463,16.763572,16.98507
North Carolina,36.044177,28.662326,55.84664
Pennsylvania,68.917226,72.357143,76.134342
South Dakota,2.516145,4.541491,7.937385
Virginia,20.940565,30.352499,52.944754
Wisconsin,33.73718,26.506474,35.365374
Utah,25.399385,13.311334,20.050797
